ORGANIZATION,PROGRAM,DESCRIPTION,YTD_AMOUNT,QTD_AMOUNT                                                                                                                                                                                                    
2024 CONGRESSIONAL PROGRESSIVE CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,4678.64,1524.19
2024 CONGRESSIONAL PROGRESSIVE CAUCUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11543.83,4603.62
2024 CONGRESSIONAL PROGRESSIVE CAUCUS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,26219.21,16958.03
2024 CONGRESSIONAL PROGRESSIVE CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,497097.2,156585.83
2024 CONGRESSIONAL PROGRESSIVE CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,497097.2,156585.83
2024 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,636175.5,195883.32
2024 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21,0
2024 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,570,0
2024 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,289,0
2024 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5083,1367
2024 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4901.87,471.86
2024 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2960,2960
2024 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,650000.37,200682.18
2024 CONGRESSIONAL WESTERN CAUCUS,ECMO TRANSPORTATION,TRAVEL,126.7,0
2024 CONGRESSIONAL WESTERN CAUCUS,ECMO TRANSPORTATION,ECMO TRANSPORTATION TOTALS:,126.7,0
2024 CONGRESSIONAL WESTERN CAUCUS,ECMO TRANSPORTATION,OFFICE TOTALS:,650127.07,200682.18
2024 DEMOCRATIC WOMENS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,373671.2,93613.88
2024 DEMOCRATIC WOMENS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,199.74,181.74
2024 DEMOCRATIC WOMENS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,248.5,100
2024 DEMOCRATIC WOMENS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1500,1500
2024 DEMOCRATIC WOMENS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5248.31,4310.99
2024 DEMOCRATIC WOMENS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,12746.68,12746.68
2024 DEMOCRATIC WOMENS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,393614.43,112453.29
2024 DEMOCRATIC WOMENS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,393614.43,112453.29
2024 EQUALITY CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,233118.99,70416.69
2024 EQUALITY CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1361.49,362.96
2024 EQUALITY CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,38,0
2024 EQUALITY CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6027.56,1500
2024 EQUALITY CAUCUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4182.54,1385.92
2024 EQUALITY CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,244728.58,73665.57
2024 EQUALITY CAUCUS,ECMO TRANSPORTATION,TRAVEL,185.58,0
2024 EQUALITY CAUCUS,ECMO TRANSPORTATION,ECMO TRANSPORTATION TOTALS:,185.58,0
2024 EQUALITY CAUCUS,ECMO TRANSPORTATION,OFFICE TOTALS:,244914.16,73665.57
2024 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,621694.53,208472.27
2024 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,897,54
2024 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,219,0
2024 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5359.62,1200
2024 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1654.51,239.5
2024 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1975.69,1975.69
2024 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,631800.35,211941.46
2024 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,631800.35,211941.46
2024 PROBLEM SOLVERS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,264313.63,73750
2024 PROBLEM SOLVERS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3351.21,1021.49
2024 PROBLEM SOLVERS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,105.26,0
2024 PROBLEM SOLVERS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4062.64,2016.5
2024 PROBLEM SOLVERS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,271832.74,76787.99
2024 PROBLEM SOLVERS CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,271832.74,76787.99
2024 REPUBLICAN MAIN STREET CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,193134.89,58050
2024 REPUBLICAN MAIN STREET CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14286.54,13318.65
2024 REPUBLICAN MAIN STREET CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,38,0
2024 REPUBLICAN MAIN STREET CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1300,0
2024 REPUBLICAN MAIN STREET CAUCUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17785.68,5558.21
2024 REPUBLICAN MAIN STREET CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,226545.11,76926.86
2024 REPUBLICAN MAIN STREET CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,226545.11,76926.86
2024 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1199589.76,311783.27
2024 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,7556.72,2144.19
2024 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,114,0
2024 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9588,2397
2024 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4105.63,0
2024 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2791,510
2024 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1223745.11,316834.46
2024 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1223745.11,316834.46
2024 SUSTAINABLE ENERGY & ENVIRONMENT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,204607,56587
2024 SUSTAINABLE ENERGY & ENVIRONMENT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,435.32,201.9
2024 SUSTAINABLE ENERGY & ENVIRONMENT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,794,0
2024 SUSTAINABLE ENERGY & ENVIRONMENT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,329.45,329.45
2024 SUSTAINABLE ENERGY & ENVIRONMENT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,206165.77,57118.35
2024 SUSTAINABLE ENERGY & ENVIRONMENT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,206165.77,57118.35
2024 VALUE ACTIONS TEAM,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,237166.7,76750.01
2024 VALUE ACTIONS TEAM,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,237166.7,76750.01
2024 VALUE ACTIONS TEAM,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,237166.7,76750.01
2024 OTHER ADMINISTRATION ,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,26602.98,7670.28
2024 OTHER ADMINISTRATION ,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,94253.61,24647.12
2024 OTHER ADMINISTRATION ,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3222.01,906.06
2024 OTHER ADMINISTRATION ,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3239.89,0
2024 OTHER ADMINISTRATION ,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,127318.49,33223.46
2024 OTHER ADMINISTRATION ,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,127318.49,33223.46
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,APPROPRIATIONS COMMITTEE,TRAVEL,19.66,19.66
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,APPROPRIATIONS COMMITTEE,RENT  COMMUNICATION  UTILITIES,29897.16,29897.16
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,APPROPRIATIONS COMMITTEE,OTHER SERVICES,93346.5,93346.5
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,APPROPRIATIONS COMMITTEE,SUPPLIES AND MATERIALS,116065.68,116065.68
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,APPROPRIATIONS COMMITTEE,APPROPRIATIONS COMMITTEE TOTALS:,239329,239329
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,APPROPRIATIONS COMMITTEE,OFFICE TOTALS:,239329,239329
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18180.54,18180.54
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18180.54,18180.54
FISCAL YEAR 2025 COMMITTEE ON APPROPRIATIONS,INTERN ALLOWANCES,OFFICE TOTALS:,18180.54,18180.54
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4735518.12,1408495.8
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,TRAVEL,1937.03,168.3
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,37764.65,14886.1
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,945.99,96
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,OTHER SERVICES,165393.11,26775.93
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,247908.32,155445.94
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,EQUIPMENT,9707.84,2662.84
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,5199175.06,1608530.91
2024 COMMITTEE ON BUDGET,GENERAL EXPENDITURES,OFFICE TOTALS:,5199175.06,1608530.91
2024 COMMITTEE ON BUDGET,INTERN ALLOWANCES,PERSONNEL COMPENSATION,48146.67,10680
2024 COMMITTEE ON BUDGET,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,48146.67,10680
2024 COMMITTEE ON BUDGET,INTERN ALLOWANCES,OFFICE TOTALS:,48146.67,10680
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5637456.99,1514051.1
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,TRAVEL,75739.69,19987.84
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,50811.06,14254.05
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1208,0
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,OTHER SERVICES,4582.9,1349.7
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,351380.89,313608.49
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,EQUIPMENT,22721.4,4092
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,6143900.93,1867343.18
2024 COMMITTEE ON AGRICULTURE,GENERAL EXPENDITURES,OFFICE TOTALS:,6143900.93,1867343.18
2024 COMMITTEE ON AGRICULTURE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,73406.64,18318.05
2024 COMMITTEE ON AGRICULTURE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,73406.64,18318.05
2024 COMMITTEE ON AGRICULTURE,INTERN ALLOWANCES,OFFICE TOTALS:,73406.64,18318.05
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,9653398.19,2593111.39
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,TRAVEL,434.09,434.09
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,64108.81,21609.19
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6445.72,20
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,OTHER SERVICES,19036.6,0
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,368799.92,353565.95
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,EQUIPMENT,30124.37,19716.38
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,10142347.7,2988457
2024 ARMED SERVICES COMMITTEE,GENERAL EXPENDITURES,OFFICE TOTALS:,10142347.7,2988457
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,8781288.54,2203999.03
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,TRAVEL,80358.06,16751.4
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,TRANSPORTATION OF THINGS,234,0
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,61109.13,16379.13
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2711,181
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,OTHER SERVICES,15235,4155
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,127711.75,20384.98
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,EQUIPMENT,41377.68,9247.5
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,9110025.16,2271098.04
2024 COMMITTEE ON FINANCIAL SERVICES,GENERAL EXPENDITURES,OFFICE TOTALS:,9110025.16,2271098.04
2024 COMMITTEE ON FINANCIAL SERVICES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,87010.57,20133.35
2024 COMMITTEE ON FINANCIAL SERVICES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,87010.57,20133.35
2024 COMMITTEE ON FINANCIAL SERVICES,INTERN ALLOWANCES,OFFICE TOTALS:,87010.57,20133.35
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,8807643.09,2361851.34
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,TRAVEL,16194.53,4796.85
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,71067.71,19200.33
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2126.55,534.35
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,OTHER SERVICES,15642.96,7949.08
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,240610.52,165338.99
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,EQUIPMENT,112641.87,90652.88
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,9265927.23,2650323.82
2024 COMMITTEE ON EDUCATION AND WORKFORCE,GENERAL EXPENDITURES,OFFICE TOTALS:,9265927.23,2650323.82
2024 COMMITTEE ON EDUCATION AND WORKFORCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,121915.77,22629.16
2024 COMMITTEE ON EDUCATION AND WORKFORCE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,121915.77,22629.16
2024 COMMITTEE ON EDUCATION AND WORKFORCE,INTERN ALLOWANCES,OFFICE TOTALS:,121915.77,22629.16
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,11632804.16,3125026.29
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,TRAVEL,39196.92,9297.38
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,90371.2,25344.77
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1667.8,964.8
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,OTHER SERVICES,1730.68,175.57
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,421490.57,338052.27
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,EQUIPMENT,37949.86,10292.83
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,12225211.19,3509153.91
2024 COMMITTEE ON ENERGY & COMMERCE,GENERAL EXPENDITURES,OFFICE TOTALS:,12225211.19,3509153.91
2024 COMMITTEE ON ENERGY & COMMERCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,165923.8,31196.93
2024 COMMITTEE ON ENERGY & COMMERCE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,165923.8,31196.93
2024 COMMITTEE ON ENERGY & COMMERCE,INTERN ALLOWANCES,OFFICE TOTALS:,165923.8,31196.93
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,13595495.05,3830644.62
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,TRAVEL,103165.83,12736.67
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,138696.41,40893.11
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1073,100
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,OTHER SERVICES,12080.66,841.26
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,377948.05,291569.24
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,EQUIPMENT,49162.44,3507
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,14277621.44,4180291.9
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,GENERAL EXPENDITURES,OFFICE TOTALS:,14277621.44,4180291.9
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,165152.19,18562.52
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,165152.19,18562.52
2024 COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,INTERN ALLOWANCES,OFFICE TOTALS:,165152.19,18562.52
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,6823322.32,1853556.6
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,TRAVEL,178492.94,92449.45
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,110198.24,32061.07
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6624.44,1721.9
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,OTHER SERVICES,1256102.34,705601.61
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,145711.42,84400.12
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,EQUIPMENT,68006.91,7417.9
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,8588458.61,2777208.65
2024 HOUSE ADMINISTRATION,GENERAL EXPENDITURES,OFFICE TOTALS:,8588458.61,2777208.65
2024 HOUSE ADMINISTRATION,INTERN ALLOWANCES,PERSONNEL COMPENSATION,93961.65,16249.99
2024 HOUSE ADMINISTRATION,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,93961.65,16249.99
2024 HOUSE ADMINISTRATION,INTERN ALLOWANCES,OFFICE TOTALS:,93961.65,16249.99
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,7707689.42,2357733.34
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,TRAVEL,292740.77,40236.42
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,66535.49,26122.46
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,18436.67,10533.16
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,OTHER SERVICES,10280.73,1498.92
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,285955,251074.59
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,EQUIPMENT,32753.17,15189.92
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,8414391.25,2702388.81
2024 COMMITTEE ON NATURAL RESOURCES,GENERAL EXPENDITURES,OFFICE TOTALS:,8414391.25,2702388.81
2024 COMMITTEE ON NATURAL RESOURCES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,59983.34,9155.55
2024 COMMITTEE ON NATURAL RESOURCES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,59983.34,9155.55
2024 COMMITTEE ON NATURAL RESOURCES,INTERN ALLOWANCES,OFFICE TOTALS:,59983.34,9155.55
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,9983401.44,2764089.57
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,TRAVEL,23496.77,8411.77
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,104594.38,25939.2
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2956.9,416.5
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,OTHER SERVICES,13396.92,788.42
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,89018.42,29443.72
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,EQUIPMENT,36066.47,8752.26
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,10252931.3,2837841.44
2024 COMMITTEE ON FOREIGN AFFAIRS,GENERAL EXPENDITURES,OFFICE TOTALS:,10252931.3,2837841.44
2024 COMMITTEE ON FOREIGN AFFAIRS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,109883.35,24066.69
2024 COMMITTEE ON FOREIGN AFFAIRS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,109883.35,24066.69
2024 COMMITTEE ON FOREIGN AFFAIRS,INTERN ALLOWANCES,OFFICE TOTALS:,109883.35,24066.69
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,11758178.9,3344968.18
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,TRAVEL,234334.03,58682.63
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,105062.67,30489.79
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1106.5,46
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,OTHER SERVICES,163644.44,34248
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,227582.29,156599.19
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,EQUIPMENT,68483.95,29367.73
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,12558392.78,3654401.52
2024 COMMITTEE ON JUDICIARY,GENERAL EXPENDITURES,OFFICE TOTALS:,12558392.78,3654401.52
2024 COMMITTEE ON JUDICIARY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,78216.66,9516.67
2024 COMMITTEE ON JUDICIARY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,78216.66,9516.67
2024 COMMITTEE ON JUDICIARY,INTERN ALLOWANCES,OFFICE TOTALS:,78216.66,9516.67
